EL708,7,Jay St ACFR,99.39%,100.00%,99.93%,96.69%,6,4,2,0
EL709,7,Jay St ACFR,99.40%,99.53%,99.82%,97.65%,7,5,2,0
EL382,14,Prospect Park BQS,99.62%,100.00%,100.00%,97.23%,6,4,2,0
EL423,12,74 St‐Broadway 7,85.97%,87.89%,87.79%,99.25%,47,42,5,3
EL405,0,21 St‐Queensbridge F,91.64%,91.37%,92.82%,N/A,13,8,5,1
EL426,10,Junction Blvd 7,93.75%,95.08%,94.06%,98.30%,13,6,7,2
EL407,0,21 St‐Queensbridge F,93.95%,94.48%,94.03%,N/A,10,6,4,0
EL412,29,Jamaica Center EJZ,94.49%,95.54%,95.73%,91.29%,27,25,2,0
EL436,9,Kew Gardens‐Union Tpke EF,95.15%,96.54%,95.65%,96.49%,11,6,5,0
EL437,3,Forest Hills EFMR,95.62%,97.51%,96.47%,98.56%,13,8,5,0
EL427,10,Junction Blvd 7,95.77%,93.86%,98.80%,98.30%,20,18,2,1
EL428,11,Queens Plaza EMR,95.98%,97.62%,95.38%,97.42%,11,7,4,2
EL425,10,Junction Blvd 7,96.12%,97.37%,97.50%,97.56%,24,17,7,1
EL435,9,Kew Gardens‐Union Tpke EF,96.77%,98.78%,97.04%,98.08%,11,6,5,0
EL433,12,Jamaica‐179 St F,97.00%,98.48%,96.31%,96.93%,16,11,5,0
EL439,3,Forest Hills EFMR,97.39%,98.91%,98.41%,98.25%,8,2,6,0
EL414,17,Flushing‐Main St 7,97.45%,99.17%,97.02%,95.51%,15,10,5,1
EL413,29,Jamaica Center EJZ,97.68%,99.98%,99.72%,96.01%,19,13,6,0
EL429,11,Queens Plaza EMR,97.76%,98.09%,98.91%,95.63%,9,3,6,0
EL424,0,Briarwood EF,97.81%,98.47%,99.07%,N/A,15,6,9,0
EL432,12,Jamaica‐179 St F,97.87%,97.85%,99.01%,97.45%,16,11,5,0
EL498,5,Mott Av A,97.93%,98.05%,97.95%,98.59%,8,6,2,0
EL434,9,Kew Gardens‐Union Tpke EF,98.00%,98.69%,97.36%,98.55%,10,6,4,0
EL422,12,Jackson Hts‐Roosevelt Av EFMR,98.02%,99.86%,98.29%,98.85%,12,6,6,1
EL431,12,Jamaica‐179 St F,98.09%,98.82%,98.71%,97.86%,12,6,6,0
EL438,3,Forest Hills EFMR,98.14%,100.00%,100.00%,97.04%,12,6,6,0
EL421,12,Jackson Hts‐Roosevelt Av EFMR,98.61%,99.90%,100.00%,96.42%,10,5,5,0
EL411,29,Sutphin Blvd‐Archer Av‐JFK EJZ,98.76%,99.93%,100.00%,98.33%,5,1,4,0
EL430,11,Queens Plaza EMR,98.76%,100.00%,98.76%,98.78%,7,2,5,0
EL409,0,Jamaica‐Van Wyck E,98.81%,99.34%,99.53%,N/A,7,3,4,0
EL408,0,Jamaica‐Van Wyck E,98.83%,99.55%,99.86%,N/A,4,1,3,0
EL446,6,CitiCorp/Court Square 7EG,98.89%,99.47%,100.00%,94.33%,9,2,7,0
EL447,6,CitiCorp/Court Square 7EG,98.90%,100.00%,99.67%,99.07%,10,5,5,0
EL406,0,21 St‐Queensbridge F,99.13%,99.93%,100.00%,N/A,7,4,3,0
EL420,12,74 St‐Broadway 7,99.15%,99.79%,100.00%,96.70%,8,4,4,0
EL497,5,Mott Av A,99.71%,99.78%,100.00%,99.68%,4,3,1,0
